text,label
hate faggots talk shit halt cant respond bitch write letter response,0
aint gotta dyke like hoes,1
rihanna must got holy grail pussy,1
thats bc crazy lol thats nicca tho man swear idt nobody mom cooler mine yo,1
something different turn hoe,1
im beating bitch jay jay ass see nigga really ova dead tho,1
charles charge movie shiah lebouf charlie ryan gosling buddy whynot,2
yankees cant beat red sox dont even deserve playoffs yankees redsox mlb,2
lol feel like punk bitch sittin lights,1
need opinionated bitches moar,1
got iphone business sidekick bitches,1
god drake trash dawg thank ass water,1
armisticeday cry never absent mocks pledge neverforget fallen ancient,2
think time institute drunken monkey,2
cat kill birds make huge mes feathers,2
cant blow belch whistle im basically retarded,0
muhammad ali roy gracie hoe,1
video entire media likely mock crybaby,2
people act roleplayinggames human filth dont deserve respect youd give mosquito theyre soulless gutter trash,0
read wo slant orig argument said everything havethat extreme comment made,2
fag,0
oomfs teeth quite yellow,2
ok reason god make parasitic worms whose sole purpose burrow eye small african child,2
bitches like come fucking happened shaved bitch knew wassup,1
ol trout verbalize nooky bitch deeeeaaaadd,0
sensation wars meets charlie brown,2
bitches mann,1
first hoe sex man feelings,1
bad bitch dex okay,1
faggots merely scientific index number something wrong celebrate unique indiviuals cancer,0
made fun suicide attempt mellie aint bitch fuck season,1
yanks cocktail called irish car bomb stuck flakes ice cream cone called,2
sounds like gypos used time lived,2
im gonna nip right atomic number bud,2
know ghetto determine streets named main luther king jr littlejohn halp,2
bitch youre andrew white stfu shitty spanish,0
love bad bitches thats fuckin problem forreal real shit cant even help,1
everyone calls b like oh wassup type b like wassup niggah,0
pornandroidiphoneipadsexxxx closeup amateur pussy player milf close,1
oh saying democrats lost teabagger vote lmao bobble head morningjoe,2
blue cheese crackers intrigues repulse time,2
u knw homie show bitches love,1
low info redneck dumbasses vote corporate shills idiots like believe dummies,0
sniff perved scally lad fuck yeah,1
goodbye x young dolph featuring trinidad james shy glizzy,2
sexy tweet lead yankees turn matt thornton finish red sox th,2
boy always pussy never threat,1
think niggas end kids fucking horrifying bitches,0
agree fat bitches girls left gettin passed around,1
senator anchor baby go back came natural born canadian,0
ur profile one armed nigger,0
speaking ford garland need get sub job application lol killin deuce birds one stone merica,2
proisis jihadi prayer hajj making polish,2
running play differentialsmets yankees,2
say want nigga like bitch mad cause cant wifey,1
ya niggas gassin wack ass bitches,0
know favorite tweet tryna cheat ass bitch haha,1
fucking bitch rachel needs die please,1
potter mad,2
harvard got worst hoes cheerleading america,1
someone tell dreads pa uniform id pull hair trash talking cut doodoo braids,2
fuck swole fag,1
led christmas decor lights ft led fairy string light outdoorindoor,2
yes sorry grant im bitch im going ignore like libtards ignore majority voice,1
wiz khalifa influential rapper era seem forget trends nigguh staed,1
best asian massage park gradient top rated spa,2
riding bros still dont trust hoes,1
watch ned crc worldcup puravida,2
ur girl watch shoot front u trying spook u,2
yall niggas enteain nicole bitch dont see yall ever take vitamin bitch posted naked motionpicture show serious,0
eyes brows finna fleekate fleek bitch,1
hell blk stop sayin nigger unity america,0
charlie parr mountain top music fest,2
one side chicks came k bitches know live hiding cuz,1
mandate still effect means marriage ban nevada unconstitutional trial cou yet enter injun,2
black people like disgust laughing someone died dumb monkey ass niggas like need locked stupidity,0
always soprised dat mo followers den discolour,2
man damn dude come get bitch lml,1
magnus team leader paicularly rude unhelpful opposed charlie blatantly lied awful service,2
jadeveon clowney tops latest mock draft hes every year guy,2
damnpayback bitch,1
hate bitch digital audiotape act like nigga,0
youre father every mexicannigger loves hear,0
happy bihday fag,0
atomic number hate fat holler,0
every character thesimpsons trash theyre trash purpose dont get dont get joke,2
add name ghetto comparable looks like used label maker lol,2
ya grandma brownies wink wink,2
digital audiotape bitch katy perry suck skin dick,0
pussy put ass sleep,1
neta bullshit aside need get bad bitch,1
one call radical muslims niggers fitting racist racist anyone hates america,0
get nigguh streets,1
lmfaooooo bye american spos trash soccer hockey best spos,2
dress shi saggy jeans backwards yankee hat thats lifting swag,2
every spic cop killed pigs got job get even white people never fare anything,0
youre faggot fuckheads,0
happy monday bitches wanted know yes dont ever fucking forget amazing strong,1
simulate shit hmm cuz u dont know fuck u talking crackers days,0
dude took running like bitch,1
boy shot albino deer,2
boys discover hoe,1
essence fest anyone ill main stage stepping uncle charlie,2
get past boot camp go active years see really daily liberal pussy,0
uhhh youve judged happens whitepowerill fall nigger wo,0
faggots honeybooboo imagine internet public created trap feed allah like gazelles stephenking,0
unity zebra amongst sheep,2
fake pics get tl u r dismissed muzzie,2
big red fat squaw lol hubby funny insidejoke,2
bitch im winning,1
needs ski sure looks like bitch,1
yeah hoes straight ima grab light blue pair,1
light beer mean faggot piss overly powered man,0
neer survive da colored hood,2
kk bitch td jeff b home real soon,1
bitch stop hatin cause aint make em toddler size happy make em gs,1
suction dick tacos el negro better,0
biggie always flyest cunt rap biggie,1
mommy said pussy cats inside dawgs house,2
see crazy teabaggers given defunding obamacare moved along using veterans mvetmarch,2
lil stupid lil bitch aint fuckin bug sean voice,1
yes bitch,1
get cold beer hand aint mistakin cant hide redneck side,2
thats ghetto thats sweet movie quote try,2
cute posterior niggah,0
even though lil waynes music turned trash ceilings human always favorites,2
lmao minds well hoe aint mean like girl lol,1
bitch look way,1
blanched bus drivers white trash losangeles,0
thanks black dah years old kinky hentai son bitch,1
aint bout murder game pussy nigga shut gang,0
iodin want cookies brownies ice cream,2
moke,2
naw bryan said trash hotel staying somewhere else,2
congratulations reinforcing stereotype insecure uneducated uncivilized ba,2
want oreos milk honestly stop store pick way back lol,2
gotta love islamofascist cow test make reto age typical muzzie idiocy,0
text bitch,1
never screamed much like little bitch fucking video game im leaving eah iggbye,1
rate hoe,1
masses fucking retarded lol,0
recipe address leftover brownie hell leftover brownie thats brownie havent eaten yet,2
dem niggas ca white hoes love beautiful black sistas,0
genesis tna watching bad cant even mocklive tweet,1
sick coon antics accuracy henny water,0
pop dontae already got bitch dah big yaknow,1
bitch twerking club peep change pocket,1
one classmates offered teacher brownie someone enunciate trying earn brownie points,2
sleepover come robe bitch silk,1
trash,2
nippin clarke motel bitchesthey get free pizza every day dont tip shit also never give us business game,1
vice news interview canadian jihadi poem translated f u sound track,2
crank little hank sit hood drink im get redneck,1
huhlast gamestampa balt yanks lost sound pitcher please explain logic,2
mother nature hates yankees baseball,2
pears bitch pear,1
amber rose everything vmas killen every bitch,1
hear bill likes trailer trash comparable,0
sit stfu raghead,0
fuk mentality real nicca,0
wrote whole game story orpik shut ovi two nights row many mock really,2
saw dawn planet apes one better moves ive realize year didnt know wanted apes,2
thats fav pa take carewhole album trash,2
shes another straightup conscienceless liar soulless vicious trash,2
boringhack allah mohamed personify also fagsplease mention welldid god take away balls punishment,0
still really confused humplayproblems think lucricus cost fag dagger,0
fredo bitch ass nigga niggas fire shots pops didnt get one cuz strike gun smh,0
way klansman would say nigger slave way says conservative literally sees conservatives slaves,1
dont axerophthol hu little fagot,0
congrats derek jeter sta shostop hoosier state th final allstar game farewellcaptain,2
thanks follow guys im bask cold yellow belly right,2
niggas always wanna talk god gays pussy eating last night aint divinity ag,0
guess ill trash drawing roster changes,2
charlie crist wins democratic primary indium florida governors race ap projects via,2
aint gator youre gator bait,2
ga charlie,2
every spic cop killed pigs got job get even white people never anything,0
yeah trash q man capitalize h tho im takin ya fans,2
upenn campus black chicks scrap theyre gonna paid,0
michaelbrown suppoer says whites evil albino black babies seriously tcot,0
slide hoe dms like,1
im referring second put vick slot play trash,2
bitch fuck r u speak fuck feel like stop pussy ass nigga box fuck,1
hoes n oz,1
u gotta slow pull coon hrs know passion n hip hop lebron fake love quotes,0
bihday today bitches gotta work,1
news democrats antisemitism jewish group condemns vp joe bidens offensive reference shylocks,2
cuh went time settle hoes,1
aye hoes sta coming dont forget put wont,1
dont know whats stressful midterm examination flappy birds,2
tbt halloween spoopy hoe pimp daddy,1
went see leave pic theater tables real food fun ordered brownie desse p,2
atomic number niggress thinks shes human,0
racist month get u honkey,0
niggas bitches gotta quit wit da money pics count accurately aint enough,1
dont guardianship tho banger,0
sell larger sized condoms sir gallon trash bags winks security escos,2
scientifically proven one cry least watching charlie st cloud,2
guys definition white trash,0
birdie feather flock together,2
broke bitches make sick,1
dom calls bitch boy,1
man lame niggah chance im unfollowing tf ass,0
smh foil,0
mitt romney detest big bird fascist,2
fucking white people bitch wut,0
learn typecast ya hillbilly,0
dis nicca went dat keep tryin,2
grass comprise greener side fence course also soggy septic field,2
real shiit niggah,1
man captured muammar gaddafi evergreen state wearing yankees cap,2
ur sassy white trash change ur username,0
das new bae bitch bad naw lmao,1
cigarette,0
opinion irrelevant cunt,1
dick called offensive joke bitches get hu goes far,1
niggerfood niggerperson nigger,0
joe hernando coez ultimate faggot fight proved,0
nice roundup voices china africa relations chinaafrica trade oriental allure,2
fuck pussy fuck mouth get laid ass movement nasty,0
shiddd add turn bitch lmao,1
smh hate hoe,0
cant stand bitch tail end niggas,0
ilk bitch niggas,0
redneck attitude people think benghazzi real think fox fake nws follow real one,0
isis jihadi terrorists post tweets every minute spread propaganda,2
sounds like good idea one want word spread jews niggers commies alike,0
respect birds peace indiana pieces,2
bitch ass nigga hating black women uncle turkey cock bitch punk,0
gay ass nigga bitch thought thought,0
quaternary incompletion slants looked like better options shame theres youth lack trust going,2
reek moldiness pussy ass niggas talkin shit tomyfacebro test,0
white bitch tried set racial war lol bitch impossible im smaer,0
colored denim makes bum,2
segment finally never watching teabagger propaganda morning msnbc currenttv morningjoe,2
lowkey got fan hoop skills lbcc aha niggah lol,1
besides much makeup trash,2
stunt hoes like,1
youre wearing sweatshi snapchat story hoe love tho lol,1
hours almost pages atomic number want slit wrists guess ill settle sleep,2
know youre fucking bitch right lol,1
body count mine hoe js,1
hoes temporary good woman always good woman,1
homo stfu dumb monkey,0
gave move lil nigger push smh,0
know righttt hate fat loud bitches,0
loyal bad bitches exist want one,1
kush god bitch,1
cant stand around ghetto girls,2
every spic cop losangeles loyal latinkings,0
tbt love forever ling ling,2
perfection brain crossed wires something dont know came concentrationmaybe ghetto one,2
getting hit cunt thats foot sideways cunt inwards army lol dini care yous fuckin laughable,0
sheryl crow bae,2
bruh really rocking toaster face lmaoooo prolly got bitches man,1
cant even find mock anymore scary mass ignorance terrifying yes alas agree,2
yankees aint complaining royals win lose game showed hea al ride die flex zone earned,2
woman staring problems much mentalking mumbo jumbo meni give retarded faces ignore,1
idgaf flat chested hoes feelings either grown ass man nigga,1
tony think yr rude little cunt young eve know real rock rol,0
immaculate ever talks white person white person kills self defense,0
hoe tho right,1
coaches dont put positions successful offensive struggles put gardner program trash,2
windoo bleaching teeth smiling flash talking trash breath,2
want square hoes,1
sowhite people selling african cool okay blackish redskins doublestandard,2
youre playing flappy bird internal suicide prevention lifeline save lives,2
hahaha thanks bitch,1
swags fag sauce,0
free patterns adorable crochet borders butterfly ladybug flower bumblebee hat edging trim,2
single want poms back lmfao,2
das calld usen yo brain retard would whoop yo posterior nohward front da police,0
reds fan snags foul ball gets shoved player flips bird becomes true american hero,2
yay america israel put inch jew hating muslim trash government pathetic sickening,0
dont understand theres trash cansdumpsters everywhere theres hold till go somewhere one,2
screw hoes,1
u still angstrom mutt tho lol,2
near job texting back faggot,0
hull yuh mudda cunt six strikers set clasico,1
fuck bruh ima look young bitch,1
hoes always putting self nigga situation yall going satisfied till get ass beat nigga,1
aint nobody tl slick dead females bashing niccas early dis morning lol,1
got coon got bitches want,0
hoes getting sma gotta watch,1
whats youtube channel faggot,0
hate white wishwash cops raped murdered infant daughters son,0
nigga said woke bed fulla bitches aint een fuckin idc shit bout x harder,1
aint cuffing bitch thats posting sex gifs maybe im different,1
thats okay minivan run red light im sure nail appointment impoant life bitch,1
furrybah paypay voice hoes everybody nigga,0
girl sucks deal periods making us bitch shaving legs daily basis worrying eat,1
phone charging backwards retarded,0
find bitch gtta thang boss niggas,0
new york niggas quick take bitch public boy lol,0
quick lesson birds bees birds looming oily sudden make bulbous shrieking hungry,2
helium aint shit girl cunt made nigga,0
wishin local takes da yankee game spoil,2
bad bitches get left wack pussy kinda overrated cause sex get better everything cool,1
one day im like harry dash hot next day make tf faggot,0
see bae retweet mention hoe,1
foh fag,0
jacob u look like monkey dis,2
say waste draft pick along manziel mallet thats wherefore im telling delete account youre retarded,0
wonder many us citizens joined isis listening joe scarborough trash black president good job joe,1
waits fanduel hit jig,2
need thank killing niggers follow reward dis pal graduation,0
birds school,2
saw man yellow hat grand canyon today hanging next curious gorge,2
ravioli stuffed wit lobster nd group nice stuffed clam eating bettehanamobster,2
gay tanning bitch juvie get white,0
speak colored thinks love,2
hey youre nigger racismisaliveandwellbro learn blacks league conduct,0
let fuck side hoes peace smh wish boyfriend would respond texts,1
yeah sucks like fags oh nevermind fags nfl,0
eat pussy like cold pizza,1
dykes anything,1
damn took dumb spic nearly sidereal day respond wuz really good tho beaner,0
nah pussy wont,1
jihadi streams rutba anbar province iraq,2
live street glory die ghetto fame respect fear none pride everything,2
u gone bring ur side bitch game know ya gf friends swear,1
bitch doesnt even make sense bitch,1
watch spade lovers day coming,0
see get im guy love adventure ampere need speed charlie brown,2
luke hemmings really thinks theyre trash must fucking di bc boys beautiful dammit,1
jeff fisher saved refs karma zebras mess,2
turn bitch real quick,1
band white trash white trash would buy album,0
ha hour angle ha upright fat dyke,0
youre right around nig,0
omg gtfo white faggot,0
problems bitch aint one,1
smh nigga mildly retarded lmfao griff wasnt injuries wed legit,0
come never bring food dont car retard,1
lol niggas still talking threw bitches smh,1
people picture far wide reason makes teabaggers poor spelling really tempestuous,2
seen pic comparison lou holtz grandma beverly hillbillies cant stop crying tears unfathomable hilarity,2
youre faggot fuckheads,0
sir please go text mexican bitch im finna deal witcho childish ass,0
ive read hunger games times trash,2
ghetto gold needa first music vid,2
asked dis bitch get water mins ago dafuq,1
insane cigar trash foam done bumped head insane like insane,2
im living nig,1
queer ass shos rabchenko got along,0
friends dont wanna hangout automatic response call bitch whoops,1
white kids black kids yellow kids hellhole even purple kids carry like daniel geale go far gealemundine,2
sitting bar work watching walking dead wholly fucking wetbacks decide come grow spic music jesus christ,0
get along think rice fags mcdonalds,0
looks like hes wearing trash handbag,2
shut fuck fucking trash nigga work another ring,0
damn got wifey fall back nigga dont divvy hoes,0
men often constitute rambling retarded women appear trashy tipsy lawless lustful,0
niggas put wigs act like bitches retweets shit fu,1
fuck michelle obama monkey doesnt go white house,0
hoes loyal n,1
defeat beanball,0
hellobrookland opening serving free samples cider vegan sliders brownies,2
shit ill pay exchange premium get away anything ass hoes,0
back coon euphony decent,0
omfg feet bitch whisper something diy ear,1
ohio inmate sums lebronjames return means cleveland leb,2
like ion care bitch susie work broke man tellin whole story blah blah blah,1
tired mock drafts lets clowney st pick thinks round becomes chaos showofhands,2
good pussy nigga like funniest thing ive ever seen tl,1
virginia represent full white trash,0
repo u want physically chasinghounding uncivilised also case bansalgadkari,2
id hate feeling like faggot punk nookie hoe,0
im trynna find bitch fat ass,1
youre antiophthalmic factor fag,0
thank captain itll never jeter,2
main bitch called tell missed super cute love boo,1
hahahaha move bitch get wayyyeee,1
wellnigh teachers abuse position theres teaching discipline theres cunt cunts,0
lmfao oh nah keep three hunna twitpic selfie u ho,2
dutch farmers albumen trash,0
real love hard find bitches try fake,1
could anywhere eah right know would yankees bowl,2
fab snapped like konnnichiwa bitch,1
shoot pussy ima beat face asphalt,0
farra teen mom sex tapes pornhub lmao hoe ass,1
downloads flappy bird sierra welp goes school,2
retards retweet fuckry,0
niggress thinks shes human,0
thee bears trash tho,2
jessica im afraid slit throat tomorrow,0
fuck wit us tweakin hoe,1
got body faggot,1
infuriated jihadis putting murder requests saudi fighter pilots paicipated bombings syria isis,2
choke something hoe,1
type special faggot bring chocolate swishers smoke session,0
damn joe buck making sound like greinke trash played royals chill forbidden joe,2
im thusly sick atomic number niggers,0
ike finna bitter bitches upsaught dont care lmao,1
friend foe nicca state ya biz,2
shut upwards faggot,0
big ass smile eyes chink,0
everybody mocks obama hes embarrassment usa,2
niggasbitches cheat cause mfs always remember gettin played,0
coddle boy asleep monkey since little love son much,2
iodin luv watching gas monkey havin classics,2
enteaining hoes smh,1
point dont enjoy watching harden anymore constantly pisses stop bitch,1
lot easier let go girl find shes giving pussy like goodie bags bihday bash,1
got tats breast trash ass bitch stay far away ya acid pussy,1
man bitch gonna damned thang u dont like got state unfollow,0
bitch help,1
early bullshit fuck yall hoes lmfao,1
girlfriends like dont want,1
half jar marmalade shaved monkey saran wrap mini horse give best scene askkevin,2
lol u seen eisenhower kindergaen teacher sta sexual relationship,2
niggas tweet wanting good girl giving hoes attention day,1
sound like bitch,1
thought ghetto scripture babe,2
hey folk nigger loving jew boy asked making death threats goat fucking people fuck,0
like damn hoe gave chance average aint beauty make together,1
speaking ford garland need get sub job application lol killin birds one stone merica,2
still needs give bitch im youtube rhapsody ya cock,1
sleeping toooooo much fuck ima enjoy sta working jobs like hoe haha,1
shut yo beaner ass spic hop faggot ass back across border little nigga pop listen pitbull,0
give head kiss yo nigga ill bitch,1
boy look like slave hoe,1
fearful wrath god ampere country many mock christianity embrace perversion aboion bows pcmulticulturalism,2
bet took twitter cencus itd least basic ass bitches,1
love money fuc bitch wont stress keep mouth closed cuz,1
bitch watch love mouth diy whore swear god thats thin line,0
ive ever offended im sorry youre sensitive lil bitch,1
forgot white trash texarkana well arkansas,0
wheres pa fat amy goes err wop wobn wefo thingspeoplesay,2
sameeee bitch asss lol,1
im making pollo la brasso,2
charlie ron constantly frame heat entire careers,2
bitch skechers light,1
bring niggas got bitches,0
said want dj mix track regardless use video gon dumb retarded reg versi,1
reason called jesus monkey knew color farrakhanthetime,0
glad uncle another stupid poof world hopefully next,0
wetback,0
im bitch lmao really say whats mind though cant help,1
ed alex ramos aka trash gain followers votesos,2
huh lol brainsick nigga mad,0
bitch shut fuck follow u say nigga,1
dear god forgive us moral slope values shacking pretty word perpetual fornication lets,2
cheated way get hahaha bitch funny youre worried stop subtweeting dumb ass,1
yall bitches hit mall looking new clothes need hit gym escalators cutting,1
pats owner equal kike,0
u call every bitch gayor bi,0
youu got wild bitches tellin lies,1
dont give flying fuck teabagger piece human garbage like thinks,0
youre reading coon,0
hate seeing people money spend stupid shit dont need tvs shark tank twat,1
faggot bitch spade,0
let coons great dream,2
oreo cookie,2
fuck around get honeybun took bitch crying nigga,1
fag,0
eat dat chicken kayoed love box baby lovin white woman eatin chicken colored mans dream,2
gots da bet da msnbc wit dat colored reverend listen coloreds else missing,0
hey dont like stupid white bitch horror movie asks america hide isis behind chainsaws mkay,0
straight like chaser bitch solid five wedding day nigga,1
look like trash someone regard,2
bitch done u sunday spade,0
im finally finished work im going chug bottle wine catch guys challenge accepted,2
come charlie government trying protect dese tooise atleast thats barack obama says,2
atomic number hate dumb bitches,0
pick president uncle tom association would pick larry elder,2
id best bird could teach funniest things say,2
green azz niggas yall new bitches condone dat sucka activity dat keep doin,0
guarantee things youre white youve never anywhere nigh axerophthol real ghetto relative pig,0
sixten shoved comparable oreos throat,2
went college every college got bird class u rump get ya friend sign u get class rashad,2
kid looks like retard tries hiding phone obvious,0
people think gay marriage okay beyond goodfornothing dont want future son seeing fags walking street holding hands,0
bitch ass nigguh,1
gorg bitch thinks june something,1
police depament hires gypsies halfbreeds nigglets trusted,0
lethal bird flu cocktail sent lab unintentionally went unrepoed cdc,2
day unblock become man wont happen bitch lol,1
knew personify faggot though,0
yo bitch seat needs boss fuck,0
nigga screamed like lil bitch lol,0
bitches u hate wont stop staring u halls,1
oh hell fuck uncle tom bitch remember yo punk broke ass,1
bitch fuck yo nigga whats pussy,0
waiting greaser sycksyllables,0
shouldnt club done club saw bitches reject dance man,1
man city yankees got together course th mls clubthey begin playing,2
trying hard resist urge smack bitch,1
plan dying soon im totally going write kenobi sole heir hes thing locally trust,2
cincy fans talk trash city cle root like belong stillcle cleallday gobrowns,2
life great mad day bitch im bless move ur negativity dat way,1
hoe meter went,1
sorry sam went wes durham woody durham son tar baby pack game,2
heard thigh gaps way telling bitch pussy loose,1
monster trash,2
picture yes havent updated pic added angel wing colored thanks represents,2
lets say hellen keller makes better brownies,2
fuckin hot gym pussy fuck yeah,1
god would sell nuts watch lebron tear acl right watch pussies kill,0
emma watson,2
nerves worked cos monkey,2
bitch dont like cant bitch,1
infest cur zog jews run countries want white man perish,0
everyone calls b like oh wassup b personify like wassup niggah,0
saw words tinker tailor soldier spy muttered aloud,2
swear disgraceful like bitch line really dry day ill get emails pacsun,1
u lame bitch get fuck gay shit,1
bucs great uniforms done trash smh,2
aint bitch mimi still wit gay ass nikko,1
peckerwood,1
cant watch charlie st cloud cry like little baby every single time,2
mila kunis take heterochromia iridum gives two different colored eyes one eye green brown,2
niggress conceive shes human,0
ecstasy gulls first grade cracker physical,2
national bird american bald eagle endangered species success story,2
wake like fuck life lifes bitch better fuck right,1
zebra tights take home bag mom,2
got gatorades twinkies rice puddings pringles cookies,2
crust aint graham cracker keep pie,2
homie reallly love fat bitches like love,1
uranium call bitch said acting like one called one nigga shut bitch,0
parent phoenix says administrators made son wear pink fairy wings first day high school,2
whenever need hoe protected social media anywhere world please contact hell fight hoe,1
ovalbumin trash watch football,0
wondering yo espect add mo colored tv stations befo renew dis,2
perchance baylee ann tater pud nurse fester charlie chainsaws mama rot team next time punishermaxd,2
youre sole reason ace come chipotle incase didnt know keep good work babe,2
thats bias objective fact philly fans cunts,0
fucking bitches never hit nigga back,1
ur incorrect stupid nigger,0
still texans nation hoe,1
ran outside mullet flowin nips shown shotgunned cold one yelled saturday receive back sexy beast mer,2
eli manning threw nflleading twentyseventh interception season lmao trash,2
lmfaoooo bitch dont sta okay bitch,1
happy th bihday main hoe paner crime bountyhunterslyfe,1
pussy,1
fucking faggots arent live indiana dc maryland virginia,0
washables coon hair,0
fashion world urban mind stolen black people ghetto us urban haha,2
lets say hellen keller makes better brownies,2
daggone twins kick notch time beat yankees,2
yea alright redneck white trash stupid niggers hollering car going swarm road trying hit fuck yall,0
gabbys holler deuce accounts,0
miss eating speak miss red bone cooking,2
totally correct anthony cant follow livin round dem colored folk day bringin da hood dem propery value,0
one names offensive kike wop kraut wetback jigaboo towelhead gook redskin,0
yea forgot equal talkin degenerate faggot,0
jihadi sponsor hajjaj alajmi arrested kuwait airpo,2
take bitch soho froyo tell gon blow romo,1
bitch gets sma look cute ratchet,1
walk like big bitch,1
birdits planeits jake mcgee,2
finna play bitches lmao,1
lil spook yung lean robb entirely night,2
girl asked call girl bitches go panties basically brag good sucking dick,1
repo u want physically chasinghounding uncivilised also case bansalgadkari,2
fosters home imaginary trash whoa chill show everything tf,2
oreo cookie ice cream cake,2
damn whitey youll get kick newest form white privilege,0
late night earphone convos hoomie nigga gook,0
reasonswecantbetogether u talkin nig smashed da homies,0
wat type bitch ass nigga rape innocent female,1
vine still funny shit many niggers store,0
mcnair brisket sizzlin grill side hoe laid uzi game,1
spent whole catching fire telling bitch next put phone away battling masses buy milk,1
trash,0
noticed guys called jiggaboo,2
called mexican tho im proud hispanic bitch sure liked dick tho hoe,1
give tankees mean yankees maybe next year,2
night niggers,1
congressional hopeful richard tisei stops bakers swampscott rally still nobelium charlie wcvb,2
settle came inaugural chicken egg egg laid bird chicken,2
watching deadly women malicious bitch left babies sun bake death wtf,1
hey slim thats girlfriend screaming trunk didnt slit throat tied see aint like,1
dont sleep niggah chood,0
bitch,1
every spic cop killed pigs got job get even simply white people never anything,0
robust white liberals know whats effect black people dont see theyre obviously uncle toms,0
iodine cant take serious wear colored contacts,2
crazy ass acting mean ratchet ghetto crack,1
gov rick scott kicks charlie crists ass,1
